"num";"date";"type";"discount_ttc";"discount_ht";"discount_tva"
11110;"2016-07-12";"invoice";-2.8373387;-2.7546977669903;-0.082640933009709
9957;"2016-07-11";"invoice";-2.85575342;-2.77257613592234;-0.0831772840776706
10486;"2016-07-12";"invoice";-5.64;-5.47572815533978;-0.164271844660193
10512;"2016-07-12";"invoice";-5.12279568;-4.97358803883494;-0.149207641165049
10628;"2016-07-12";"invoice";-1.16;-1.12621359223301;-0.0337864077669907
10563;"2016-07-12";"invoice";-1.5;-1.45631067961164;-0.043689320388349
9860;"2016-07-11";"invoice";-7.2532546;-7.04199475728161;-0.211259842718446
10133;"2016-07-11";"invoice";-3.0120743;-2.8767130785827;-0.13536122141731
10222;"2016-07-11";"invoice";-2.36;-2.29126213592233;-0.068737864077671
10308;"2016-07-11";"invoice";-1.29729731;-1.25951195145632;-0.0377853585436897
10346;"2016-07-12";"invoice";-2.08;-2.01941747572817;-0.0605825242718446
10843;"2016-07-12";"invoice";-3.04474576;-2.95606384466019;-0.0886819153398067
10067;"2016-07-11";"invoice";-0.61;-0.59223300970874;-0.017766990291262
10525;"2016-07-12";"invoice";-1.01;-0.980582524271842;-0.0294174757281554
10153;"2016-07-11";"invoice";-0.8;-0.776699029126212;-0.0233009708737867
10330;"2016-07-12";"invoice";-0.93;-0.902912621359222;-0.0270873786407764
10231;"2016-07-11";"invoice";-2.98740088;-2.90038920388353;-0.087011676116505
9987;"2016-07-11";"invoice";-3.00205128;-2.91461289320387;-0.0874383867961168
10201;"2016-07-11";"invoice";-2.10000001;-2.03883496116505;-0.061165048834951
10847;"2016-07-12";"invoice";-2.86127754;-2.77793935922333;-0.083338180776698
10437;"2016-07-12";"invoice";-2.84558139;-2.76270037864078;-0.0828810113592243
11046;"2016-07-12";"invoice";-0.75;-0.72815533980582;-0.0218446601941747
9935;"2016-07-11";"invoice";-7.25;-7.0388349514563;-0.211165048543689
10114;"2016-07-11";"invoice";-7.59456791;-7.37336690291262;-0.221201007087378
9934;"2016-07-11";"invoice";-1.17345992;-1.13928147572815;-0.0341784442718455
10977;"2016-07-12";"invoice";-1.62000001;-1.57281554368933;-0.0471844663106802
10197;"2016-07-11";"invoice";-2.83285715;-2.75034674757281;-0.0825104024271845
10566;"2016-07-12";"invoice";-2;-1.9417475728155;-0.058252427184466
10638;"2016-07-12";"invoice";-2.8532884;-2.77018291262136;-0.0831054873786417
9914;"2016-07-11";"invoice";-3.2;-3.1067961165049;-0.093203883495146
10699;"2016-07-12";"invoice";-0.75;-0.728155339805822;-0.0218446601941748
10079;"2016-07-11";"invoice";-1.80600551;-1.75340340776699;-0.0526021022330093
10564;"2016-07-12";"invoice";-6.85579138;-6.65610813592232;-0.199683244077669
10120;"2016-07-11";"invoice";-1.78829268;-1.7362064854369;-0.0520861945631071
10606;"2016-07-12";"invoice";-2.84897436;-2.76599452427184;-0.082979835728156
10482;"2016-07-12";"invoice";-1.8;-1.74757281553398;-0.052427184466019
9921;"2016-07-11";"invoice";-1.61;-1.5631067961165;-0.0468932038834948
10714;"2016-07-12";"invoice";-1.35;-1.3106796116505;-0.039320388349515
10452;"2016-07-12";"invoice";-3.00205128;-2.91461289320387;-0.0874383867961168
10331;"2016-07-12";"invoice";-1.14;-1.10679611650485;-0.0332038834951458
11019;"2016-07-12";"invoice";-0.78;-0.75728155339805;-0.022718446601942
10304;"2016-07-11";"invoice";-0.65;-0.63106796116504;-0.0189320388349515
10218;"2016-07-11";"invoice";-4.29999999;-4.1747572718447;-0.12524271815534
10167;"2016-07-11";"invoice";-2.29;-2.22330097087377;-0.0666990291262133
10799;"2016-07-12";"invoice";-2.44;-2.36893203883497;-0.0710679611650483
10043;"2016-07-11";"invoice";-8.43;-8.18446601941752;-0.245533980582525
9943;"2016-07-11";"invoice";-0.75;-0.728155339805822;-0.0218446601941748
11084;"2016-07-12";"invoice";-0.91;-0.88349514563107;-0.026504854368933
10783;"2016-07-12";"invoice";-4.63842106;-4.50332141747573;-0.135099642524271
10402;"2016-07-12";"invoice";-4.9426923;-4.79873038834947;-0.143961911650485
9968;"2016-07-11";"invoice";-3.00177606;-2.91434568932039;-0.0874303706796109
10311;"2016-07-11";"invoice";-0.84000001;-0.81553399029126;-0.024466019708738
10536;"2016-07-12";"invoice";-12.45029124;-12.0876613980583;-0.362629841941748
10219;"2016-07-11";"invoice";-0.91217877;-0.885610456310679;-0.0265683136893204
10301;"2016-07-11";"invoice";-0.64457364;-0.625799650485437;-0.0187739895145631
10405;"2016-07-12";"invoice";-0.75;-0.728155339805822;-0.0218446601941748
10603;"2016-07-12";"invoice";-0.8604142;-0.835353592233007;-0.0250606077669903
10083;"2016-07-11";"invoice";-2.93850087;-2.8529134660194;-0.085587403980583
10504;"2016-07-12";"invoice";-4.05;-3.93203883495146;-0.117961165048544
10861;"2016-07-12";"invoice";-0.85;-0.8252427184466;-0.024757281553398
10490;"2016-07-12";"invoice";-0.9985755;-0.969490776699034;-0.029084723300971
10137;"2016-07-11";"invoice";-1.8;-1.74757281553398;-0.052427184466019
10530;"2016-07-12";"invoice";-1.22412956;-1.18847530097087;-0.0356542590291266
10204;"2016-07-11";"invoice";-1.41;-1.36893203883495;-0.0410679611650489
10904;"2016-07-12";"invoice";-8.85;-8.59223300970882;-0.257766990291267
10279;"2016-07-11";"invoice";-2.14;-2.07766990291262;-0.0623300970873785
11066;"2016-07-12";"invoice";-8.20000002;-7.96116506796116;-0.238834952038837
10262;"2016-07-11";"invoice";-1.18;-1.14563106796116;-0.0343689320388355
10712;"2016-07-12";"invoice";-1.75;-1.6990291262136;-0.050970873786408
10263;"2016-07-11";"invoice";-2.82069767;-2.73854142718448;-0.0821562428155337
9920;"2016-07-11";"invoice";-1.37351649;-1.33351115533981;-0.0400053346601948
10353;"2016-07-12";"invoice";-3.00749004;-2.91989324271844;-0.0875967972815528
10882;"2016-07-12";"invoice";-1.92;-1.86407766990291;-0.0559223300970874
10266;"2016-07-11";"invoice";-2.19297482;-2.12910176699029;-0.0638730530097089
10903;"2016-07-12";"invoice";-1.34;-1.3009708737864;-0.0390291262135924
10410;"2016-07-12";"invoice";-1.98542372;-1.9275958446602;-0.0578278753398054
10852;"2016-07-12";"invoice";-1;-0.97087378640777;-0.029126213592233
11088;"2016-07-12";"invoice";-9.82545455;-9.53927626213584;-0.286178287864078
10511;"2016-07-12";"invoice";-1.1;-1.0679611650485;-0.032038834951456
10098;"2016-07-11";"invoice";-1.35;-1.3106796116505;-0.039320388349515
10505;"2016-07-12";"invoice";-0.85643172;-0.831487106796125;-0.0249446132038835
10162;"2016-07-11";"invoice";-2.36088418;-2.29212056310678;-0.0687636168932038
10528;"2016-07-12";"invoice";-1.22412956;-1.18847530097087;-0.0356542590291266
10122;"2016-07-11";"invoice";-1.05;-1.0194174757282;-0.030582524271845
10939;"2016-07-12";"invoice";-0.73;-0.708737864077672;-0.0212621359223304
10217;"2016-07-11";"invoice";-2.9884507;-2.90140844660197;-0.0870422533980585
10341;"2016-07-12";"invoice";-3.00513762;-2.91760933980582;-0.0875282801941749
10858;"2016-07-12";"invoice";-2.99118155;-2.90405975728156;-0.087121792718447
10332;"2016-07-12";"invoice";-1.12206278;-1.08938133980583;-0.0326814401941747
10198;"2016-07-11";"invoice";-1.8;-1.74757281553396;-0.0524271844660196
10302;"2016-07-11";"invoice";-1.27435798;-1.23724075728155;-0.0371172227184467
10145;"2016-07-11";"invoice";-2.85086206;-2.76782724271845;-0.0830348172815532
11087;"2016-07-12";"invoice";-0.64457364;-0.625799650485437;-0.0187739895145631
10668;"2016-07-12";"invoice";-0.75;-0.728155339805822;-0.0218446601941748
10454;"2016-07-12";"invoice";-2.86369294;-2.78028440776697;-0.0834085322330091
9852;"2016-07-11";"invoice";-0.95;-0.92233009708738;-0.027669902912621
10019;"2016-07-11";"invoice";-1.49413044;-1.4506120776699;-0.043518362330097
10613;"2016-07-12";"invoice";-4.10211454;-3.98263547572817;-0.119479064271845
10869;"2016-07-12";"invoice";-2.98715243;-2.90014799029127;-0.0870044397087364
10400;"2016-07-12";"invoice";-2.23;-2.16504854368931;-0.0649514563106802
10113;"2016-07-11";"invoice";-7.59456791;-7.37336690291262;-0.221201007087378
9874;"2016-07-11";"invoice";-2.83841584;-2.75574353398058;-0.082672306019417
10303;"2016-07-11";"invoice";-0.82;-0.79611650485437;-0.023883495145631
10048;"2016-07-11";"invoice";-1.65103343;-1.60294507766988;-0.048088352330097
10207;"2016-07-11";"invoice";-1.66561934;-1.6171061553398;-0.0485131846601942
10725;"2016-07-12";"invoice";-1.05;-1.0194174757282;-0.030582524271845
10570;"2016-07-12";"invoice";-4.08639005;-3.96736898058251;-0.119021069417475
10164;"2016-07-11";"invoice";-0.84000001;-0.81553399029127;-0.0244660197087379
10551;"2016-07-12";"invoice";-1.02000001;-0.99029127184466;-0.02970873815534
9944;"2016-07-11";"invoice";-0.75;-0.728155339805822;-0.0218446601941748
10602;"2016-07-12";"invoice";-3.46;-3.35922330097087;-0.100776699029127
10062;"2016-07-11";"invoice";-5.29999999;-5.14563105825244;-0.154368931747574
10907;"2016-07-12";"invoice";-8.23760684;-7.99767654368949;-0.239930296310679
10916;"2016-07-12";"invoice";-0.75;-0.728155339805822;-0.0218446601941748
10430;"2016-07-12";"invoice";-2.99;-2.90291262135918;-0.087087378640776
9959;"2016-07-11";"invoice";-2.84925311;-2.7662651553398;-0.0829879546601932
10211;"2016-07-11";"invoice";-6.30715597;-6.12345239805833;-0.183703571941748
11000;"2016-07-12";"invoice";-7.29999999;-7.08737863106797;-0.212621358932039
9839;"2016-07-11";"invoice";-1.25354582;-1.19147673172351;-0.0620690882764914
9871;"2016-07-11";"invoice";-0.88999999;-0.86407766019417;-0.025922329805826
10223;"2016-07-11";"invoice";-1.2;-1.16504854368931;-0.0349514563106794
11079;"2016-07-12";"invoice";-1.85;-1.79611650485437;-0.0538834951456314
11040;"2016-07-12";"invoice";-1.8561126;-1.80205106796116;-0.0540615320388351
10854;"2016-07-12";"invoice";-3.75259013;-3.6432913883495;-0.109298741650485
10619;"2016-07-12";"invoice";-3.94628498;-3.8313446407767;-0.114940339223302
10064;"2016-07-11";"invoice";-1.75;-1.6990291262136;-0.050970873786408
10194;"2016-07-11";"invoice";-3.38122807;-3.2827456990291;-0.0984823709708736
10605;"2016-07-12";"invoice";-0.99228856;-0.96338695145631;-0.0289016085436894
10239;"2016-07-11";"invoice";-4.10211454;-3.98263547572817;-0.119479064271845
10906;"2016-07-12";"invoice";-2.83841584;-2.75574353398058;-0.082672306019417
10620;"2016-07-12";"invoice";-1.95322033;-1.89633041747573;-0.0568899125242718
9979;"2016-07-11";"invoice";-1.12;-1.0873786407767;-0.0326213592233016
10767;"2016-07-12";"invoice";-3.49174966;-3.39004821359222;-0.101701446407766
